Symbol,InstrumentToken,Name,BSE_TOKEN,NSE_TOKEN,Segment,InstrumentType
NIFTY 50,256265,NIFTY 50,,1001,INDICES,EQ
NIFTY MIDCAP 100,256777,NIFTY MIDCAP 100,,1003,INDICES,EQ
NIFTY BANK,260105,NIFTY BANK,,1016,INDICES,EQ
NIFTY 100,260617,NIFTY 100,,1018,INDICES,EQ
NIFTY DIV OPPS 50,257033,NIFTY DIV OPPS 50,,1004,INDICES,EQ
NIFTY COMMODITIES,257289,NIFTY COMMODITIES,,1005,INDICES,EQ
NIFTY CONSUMPTION,257545,NIFTY CONSUMPTION,,1006,INDICES,EQ
NIFTY FIN SERVICE,257801,NIFTY FIN SERVICE,,1007,INDICES,EQ
NIFTY50 PR 2X LEV,258825,NIFTY50 PR 2X LEV,,1011,INDICES,EQ
NIFTY50 PR 1X INV,259081,NIFTY50 PR 1X INV,,1012,INDICES,EQ
NIFTY50 TR 2X LEV,259337,NIFTY50 TR 2X LEV,,1013,INDICES,EQ
NIFTY50 TR 1X INV,259593,NIFTY50 TR 1X INV,,1014,INDICES,EQ
NIFTY IT,259849,NIFTY IT,,1015,INDICES,EQ
NIFTY MIDCAP 50,260873,NIFTY MIDCAP 50,,1019,INDICES,EQ
NIFTY REALTY,261129,NIFTY REALTY,,1020,INDICES,EQ
NIFTY INFRA,261385,NIFTY INFRA,,1021,INDICES,EQ
NIFTY ENERGY,261641,NIFTY ENERGY,,1022,INDICES,EQ
NIFTY FMCG,261897,NIFTY FMCG,,1023,INDICES,EQ
NIFTY MNC,262153,NIFTY MNC,,1024,INDICES,EQ
NIFTY PHARMA,262409,NIFTY PHARMA,,1025,INDICES,EQ
NIFTY PSE,262665,NIFTY PSE,,1026,INDICES,EQ
NIFTY PSU BANK,262921,NIFTY PSU BANK,,1027,INDICES,EQ
NIFTY SERV SECTOR,263177,NIFTY SERV SECTOR,,1028,INDICES,EQ
NIFTY AUTO,263433,NIFTY AUTO,,1029,INDICES,EQ
NIFTY METAL,263689,NIFTY METAL,,1030,INDICES,EQ
NIFTY MEDIA,263945,NIFTY MEDIA,,1031,INDICES,EQ
NIFTY 200,264457,NIFTY 200,,1033,INDICES,EQ
HANGSENG BEES-NAV,264713,HANGSENG BEES-NAV,,1034,INDICES,EQ
INDIA VIX,264969,INDIA VIX,,1035,INDICES,EQ
NIFTY50 DIV POINT,265225,NIFTY50 DIV POINT,,1036,INDICES,EQ
NIFTY200 QUALTY30,265737,NIFTY200 QUALTY30,,1038,INDICES,EQ
NIFTY ALPHA 50,265993,NIFTY ALPHA 50,,1039,INDICES,EQ
NIFTY MIDCAP 150,266249,NIFTY MIDCAP 150,,1040,INDICES,EQ
NIFTY MIDSML 400,266505,NIFTY MIDSML 400,,1041,INDICES,EQ
NIFTY SMLCAP 50,266761,NIFTY SMLCAP 50,,1042,INDICES,EQ
NIFTY SMLCAP 100,267017,NIFTY SMLCAP 100,,1043,INDICES,EQ
NIFTY SMLCAP 250,267273,NIFTY SMLCAP 250,,1044,INDICES,EQ
NIFTY50 VALUE 20,267529,NIFTY50 VALUE 20,,1045,INDICES,EQ
NIFTY100 LIQ 15,267785,NIFTY100 LIQ 15,,1046,INDICES,EQ
NIFTY 500,268041,NIFTY 500,,1047,INDICES,EQ
NIFTY CPSE,268297,NIFTY CPSE,,1048,INDICES,EQ
NIFTY GS 4 8YR,268553,NIFTY GS 4 8YR,,1049,INDICES,EQ
NIFTY GS 8 13YR,268809,NIFTY GS 8 13YR,,1050,INDICES,EQ
NIFTY GS 10YR,269065,NIFTY GS 10YR,,1051,INDICES,EQ
NIFTY GS 10YR CLN,269321,NIFTY GS 10YR CLN,,1052,INDICES,EQ
NIFTY GS 11 15YR,269577,NIFTY GS 11 15YR,,1053,INDICES,EQ
NIFTY GS 15YRPLUS,269833,NIFTY GS 15YRPLUS,,1054,INDICES,EQ
NIFTY GS COMPSITE,270089,NIFTY GS COMPSITE,,1055,INDICES,EQ
NIFTY GROWSECT 15,270345,NIFTY GROWSECT 15,,1056,INDICES,EQ
