Symbol,Type,Invested,P&L,P&L Percent,BuyPrice,LTP,MarketCap,PE,PB,52WeekHigh,DiffFrom52WH (%),52WeekLow,DiffFrom52WL (%),Buy Dates,Holding Period,CAGR (%)
AADHARHFC,HOLDING,99718,22645,22,415,509,22081,23,3,547,-6,346,47,05 Sep 2024,14 months,19
ABB,HOLDING,108806,-4406,-4,5440,5220,110616,61,15,7960,-34,4684,11,22 Sep 2025,41 days,-30
BBOX,HOLDING,100499,5630,5,502,530,9026,41,11,714,-25,320,65,"02 Jul 2025, 16 Sep 2025",85 days,82
CAMS,HOLDING,157370,19988,12,3497,3941,19521,42,16,5367,-26,3031,30,"11 Jan 2024, 29 Feb 2024, 02 Aug 2024, 23 Oct 2024, 21 Oct 2025",14 months,45
CEATLTD,HOLDING,102865,58442,56,2571,4032,16288,33,3,4438,-9,2343,72,"21 May 2024, 10 Jul 2024, 23 Oct 2024",15 months,40
ECORECO,HOLDING,100219,-3068,-3,618,599,1368,57,20,1215,-41,376,88,"05 Jun 2025, 16 Jul 2025, 03 Sep 2025, 16 Sep 2025",91 days,-8
EMAPARTNER-SM,HOLDING,115000,-15599,-13,115,99,,,,102,-2,99,0,04 Apr 2025,7 months,-22
FEDERALBNK,HOLDING,103716,38333,36,172,236,58160,14,1,237,0,172,37,"19 Jan 2024, 07 Aug 2024, 05 Jun 2025",13 months,26
GOLDCASE,HOLDING,235970,29889,12,16,18,,,,21,-10,11,68,"06 Jun 2025, 08 Jul 2025, 15 Sep 2025, 19 Sep 2025, 30 Oct 2025",72 days,122
HDFCBANK,HOLDING,99150,-385,0,991,987,1518137,22,2,1020,-3,812,21,"10 Jan 2024, 15 Jan 2024, 23 Jan 2024, 24 Jan 2024, 01 Feb 2024, 05 Feb 2024, 14 Feb 2024, 21 Feb 2024, 18 Sep 2024, 20 Aug 2025",18 months,-63
MEDIASSIST,HOLDING,99599,2892,2,553,569,4233,42,7,634,-10,415,37,"06 Dec 2024, 14 Jan 2025, 28 Mar 2025",9 months,9
MOSCHIP,HOLDING,100968,29343,29,194,250,4812,116,13,288,-13,129,92,"14 May 2025, 05 Jun 2025, 03 Sep 2025, 15 Sep 2025",3 months,159
NETWEB,HOLDING,105177,76595,72,2337,4039,22884,175,39,4479,-9,1251,222,"02 Jul 2025, 16 Sep 2025",85 days,984
NINSYS,HOLDING,101496,-7681,-7,472,436,811,28,13,642,-32,406,7,"21 Feb 2025, 10 Mar 2025, 24 Mar 2025, 05 Jun 2025, 01 Jul 2025",6 months,-12
POCL,HOLDING,98446,67432,68,813,1370,4183,44,5,1506,-8,490,179,"14 Jan 2025, 02 Apr 2025, 04 Apr 2025, 05 Jun 2025, 15 Sep 2025",6 months,184
SALZERELEC,HOLDING,104562,-2754,-2,871,848,1503,26,2,1649,-48,750,13,09 Oct 2025,24 days,-33
SAMHI,HOLDING,96645,11783,12,184,206,4568,45,4,254,-18,121,70,"06 Dec 2024, 14 Jan 2025, 28 Mar 2025, 05 Jun 2025",8 months,21
SILVERCASE,HOLDING,253260,34209,13,13,15,,,,19,-23,9,68,"03 Jul 2025, 08 Jul 2025, 15 Sep 2025, 19 Sep 2025, 16 Oct 2025, 30 Oct 2025",58 days,271
TI,HOLDING,116255,84460,72,305,528,10996,36,11,549,-3,199,164,"09 Sep 2024, 15 Oct 2024, 16 Oct 2024, 22 Oct 2024, 14 Jan 2025, 28 Mar 2025, 28 Apr 2025, 28 Apr 2025",10 months,77
UTIAMC,HOLDING,110888,2656,2,1218,1247,16005,27,3,1494,-16,905,37,"15 Oct 2024, 22 Oct 2024, 28 Apr 2025",10 months,4
